ResponseId,Response,Filename,Question
R_50STi7DSlrqjDtF,,"Implicit 11_July 1, 2024_10.14.csv",NATURAL RESOURCE and ECONOMIC RESOURCE
R_2K6EK0QoCsFAgfD,,"Implicit 11_July 1, 2024_10.14.csv",NATURAL RESOURCE and ECONOMIC RESOURCE
R_50STi7DSlrqjDtF,,"Implicit 11_July 1, 2024_10.14.csv",PHYSICAL STRUCTURE and RIGHTS
R_2K6EK0QoCsFAgfD,,"Implicit 11_July 1, 2024_10.14.csv",PHYSICAL STRUCTURE and RIGHTS
R_50STi7DSlrqjDtF,,"Implicit 11_July 1, 2024_10.14.csv",BUILDING and CAREER
R_2K6EK0QoCsFAgfD,,"Implicit 11_July 1, 2024_10.14.csv",BUILDING and CAREER
R_5WJqUBUDCq9b0TT,,"Implicit 12_July 3, 2024_03.36.csv",EQUALIZING QUANTITIES and EDUCATIONAL OPPORTUNITIES
R_5Hkc5AKs3JGY26B,"Educational opportunities should be offered equally to everybody, thereby equalizing quantities (or levels) of opportunity is important","Implicit 12_July 3, 2024_03.36.csv",EQUALIZING QUANTITIES and EDUCATIONAL OPPORTUNITIES
R_2lrBGE5jldMFxZd,,"Implicit 12_July 3, 2024_03.36.csv",EQUALIZING QUANTITIES and EDUCATIONAL OPPORTUNITIES
R_5WJqUBUDCq9b0TT, ,"Implicit 12_July 3, 2024_03.36.csv",CAUSE CONTACT and RELATIONSHIP
R_5Hkc5AKs3JGY26B,"When something causes contact with something else, a relationship between the two entities may be formed","Implicit 12_July 3, 2024_03.36.csv",CAUSE CONTACT and RELATIONSHIP
R_2lrBGE5jldMFxZd,,"Implicit 12_July 3, 2024_03.36.csv",CAUSE CONTACT and RELATIONSHIP
R_5WJqUBUDCq9b0TT,,"Implicit 12_July 3, 2024_03.36.csv",COMPONENT OF BUILDING and EDUCATION
R_5Hkc5AKs3JGY26B,"Education can metaphorically be seen as a component of building a person’s life, growth, and identity","Implicit 12_July 3, 2024_03.36.csv",COMPONENT OF BUILDING and EDUCATION
R_2lrBGE5jldMFxZd,,"Implicit 12_July 3, 2024_03.36.csv",COMPONENT OF BUILDING and EDUCATION
R_8kTXTfBd1Z6b62F,,"Implicit 13_July 3, 2024_03.38.csv",PARASITE and IMPOVERISHED
R_8bV2R7vnUNh8H00,,"Implicit 13_July 3, 2024_03.38.csv",PARASITE and IMPOVERISHED
R_2Ke1DkZXZ0dNJrX,,"Implicit 13_July 3, 2024_03.38.csv",PARASITE and IMPOVERISHED
R_8kTXTfBd1Z6b62F,,"Implicit 13_July 3, 2024_03.38.csv",JOURNEY and ACTIVITY
R_8bV2R7vnUNh8H00,,"Implicit 13_July 3, 2024_03.38.csv",JOURNEY and ACTIVITY
R_2Ke1DkZXZ0dNJrX,,"Implicit 13_July 3, 2024_03.38.csv",JOURNEY and ACTIVITY
R_8kTXTfBd1Z6b62F,,"Implicit 13_July 3, 2024_03.38.csv",WAR and DIPLOMACY
R_8bV2R7vnUNh8H00,,"Implicit 13_July 3, 2024_03.38.csv",WAR and DIPLOMACY
R_2Ke1DkZXZ0dNJrX,,"Implicit 13_July 3, 2024_03.38.csv",WAR and DIPLOMACY
R_1F3Yrgm542gD5q9,Your position in the social scale depends on your economic status,"Implicit 14_July 3, 2024_03.41.csv",SCALE and ECONOMIC STATUS
R_2iBTdd711EvWAsN,,"Implicit 14_July 3, 2024_03.41.csv",SCALE and ECONOMIC STATUS
R_3Vx3v1JqI2Ib6xi,,"Implicit 14_July 3, 2024_03.41.csv",SCALE and ECONOMIC STATUS
R_2CE3JdoEWzeinjs,,"Implicit 14_July 3, 2024_03.41.csv",SCALE and ECONOMIC STATUS
R_8qqO2lzKlTs37Zb,,"Implicit 14_July 3, 2024_03.41.csv",SCALE and ECONOMIC STATUS
R_1F3Yrgm542gD5q9,If you are light hearted you probably are in godd mood,"Implicit 14_July 3, 2024_03.41.csv",LIGHTNESS and GOODNESS
R_2iBTdd711EvWAsN,,"Implicit 14_July 3, 2024_03.41.csv",LIGHTNESS and GOODNESS
R_3Vx3v1JqI2Ib6xi,,"Implicit 14_July 3, 2024_03.41.csv",LIGHTNESS and GOODNESS
R_2CE3JdoEWzeinjs,,"Implicit 14_July 3, 2024_03.41.csv",LIGHTNESS and GOODNESS
R_8qqO2lzKlTs37Zb,,"Implicit 14_July 3, 2024_03.41.csv",LIGHTNESS and GOODNESS
R_1F3Yrgm542gD5q9,,"Implicit 14_July 3, 2024_03.41.csv",BIRD and DEMOCRACY
R_2iBTdd711EvWAsN,,"Implicit 14_July 3, 2024_03.41.csv",BIRD and DEMOCRACY
R_3Vx3v1JqI2Ib6xi,,"Implicit 14_July 3, 2024_03.41.csv",BIRD and DEMOCRACY
R_2CE3JdoEWzeinjs,,"Implicit 14_July 3, 2024_03.41.csv",BIRD and DEMOCRACY
R_8qqO2lzKlTs37Zb,,"Implicit 14_July 3, 2024_03.41.csv",BIRD and DEMOCRACY
R_1bjHrCnCSgQGxzj,,"Implicit 15_July 3, 2024_03.46.csv",PHYSICAL STRUCTURE and MIND
R_2CzRFCU0UjbGT2F,,"Implicit 15_July 3, 2024_03.46.csv",PHYSICAL STRUCTURE and MIND
R_1bjHrCnCSgQGxzj,,"Implicit 15_July 3, 2024_03.46.csv",DIVIDING and DISTINGUISHING
R_2CzRFCU0UjbGT2F,,"Implicit 15_July 3, 2024_03.46.csv",DIVIDING and DISTINGUISHING
