ResponseId,Score,Filename,Frame,Word
R_50STi7DSlrqjDtF,5,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,STRUCTURE
R_2K6EK0QoCsFAgfD,6,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,STRUCTURE
R_50STi7DSlrqjDtF,0,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,SUPPORT
R_2K6EK0QoCsFAgfD,3,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,SUPPORT
R_50STi7DSlrqjDtF,0,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,INTEGRITY
R_2K6EK0QoCsFAgfD,3,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,INTEGRITY
R_50STi7DSlrqjDtF,0,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,FUNCTIONALITY
R_2K6EK0QoCsFAgfD,1,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,FUNCTIONALITY
R_50STi7DSlrqjDtF,0,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,DURABILITY
R_2K6EK0QoCsFAgfD,1,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,DURABILITY
R_50STi7DSlrqjDtF,1,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,AUTHORITY
R_2K6EK0QoCsFAgfD,3,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,AUTHORITY
R_50STi7DSlrqjDtF,0,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,CONSTRUCTION
R_2K6EK0QoCsFAgfD,6,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,CONSTRUCTION
R_50STi7DSlrqjDtF,4,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,FOUNDATION
R_2K6EK0QoCsFAgfD,6,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,FOUNDATION
R_50STi7DSlrqjDtF,0,"Implicit 11_July 1, 2024_10.14.csv",BUILDING,STABILITY
