Column1;metaphor;sourceFrame;targetFrame;sourceRole;targetRole;example;gpt4_output;key_concepts
0;ABILITY_TO_EVALUATE_GOVERNMENT_IS_ABILITY_TO_SEE;Seein;Citizen_evaluation_of_government;"vision;seen_object;seer";"evaluation;behavior;evaluator";"Government transparency enables the public to hold the government accountable for how they spend their money; Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency";"In the metaphor ABILITY_TO_EVALUATE_GOVERNMENT_IS_ABILITY_TO_SEE, the source frame is ""Seeing"" and the target frame is ""Citizen_evaluation_of_government"". The roles in the source frame, namely ""vision"", ""seen_object"", and ""seer"", correspond to ""evaluation"", ""behavior"", and ""evaluator"" in the target frame respectively.

The metaphorical connection between these roles is based on the conceptual ties between the act of seeing and the process of evaluating. The *vision* in the source frame corresponds to the *evaluation* in the target frame. This suggests that just as vision allows us to perceive and understand our surroundings, evaluation enables citizens to assess and comprehend the actions of the government.

The *seen_object* in the source frame corresponds to the *behavior* in the target frame. This implies that the actions or behavior of the government are like objects that can be seen, scrutinized, and evaluated by the citizens.

The *seer* in the source frame corresponds to the *evaluator* in the target frame. This indicates that the citizens, like seers, have the ability to observe and evaluate the government's actions.

This metaphor highlights the importance of *transparency* in governance. Just as clear vision is dependent on light and absence of obstructions, effective evaluation of government by citizens is dependent on the government's transparency. The examples provided refer to ""sunshine policies"" and ""government transparency"", reinforcing the metaphorical connection between seeing and evaluating.

The metaphor also implies a sense of *empowerment* for the citizens. Just as a seer has control over their gaze and what they choose to focus on, citizens have the power to evaluate and hold the government accountable.

Furthermore, the metaphor suggests a *responsibility* on the part of the citizens. Just as a seer must use their vision responsibly and accurately, citizens must use their ability to evaluate the government in a responsible and informed manner.

In essence, this metaphor encapsulates the dynamics of democratic governance, emphasizing *transparency*, *accountability*, *empowerment*, and *responsibility*.";"vision; evaluation; seen_object; behavior; seer; evaluator; transparency; empowerment; responsibility; transparency; accountability; empowerment; responsibility"
1;ABILITY_TO_EVALUATE_IS_ABILITY_TO_SEE;Seeing;Evaluation;"seer;seen_object;seen_object_perceived_elements";"evaluator;evaluee;basis_of_evaluation";His judgement is clouded;"In the metaphor ABILITY_TO_EVALUATE_IS_ABILITY_TO_SEE, the source frame is ""Seeing"" and the target frame is ""Evaluation"". The roles in the source frame are the 'seer', the 'seen object', and the 'seen object perceived elements', which correspond to the 'evaluator', the 'evaluee', and the 'basis of evaluation' in the target frame respectively.

The metaphorical connection between the roles in the source and target frames can be understood as follows:

1. The 'seer' in the source frame corresponds to the 'evaluator' in the target frame. This connection implies that the act of seeing is metaphorically linked to the act of evaluating. The *clarity* or *sharpness* of vision can be seen as the *accuracy* or *precision* of evaluation.

2. The 'seen object' in the source frame corresponds to the 'evaluee' in the target frame. This suggests that the object being seen is metaphorically the subject or entity being evaluated. The *visibility* or *distinctness* of the object can be seen as the *understanding* or *comprehension* of the subject being evaluated.

3. The 'seen object perceived elements' in the source frame corresponds to the 'basis of evaluation' in the target frame. This implies that the elements or details perceived in the seen object are metaphorically the criteria or standards used for evaluation. The *detail* or *completeness* of perception can be seen as the *thoroughness* or *comprehensiveness* of the evaluation.

The example ""His judgement is clouded"" illustrates this metaphor. Here, the clouded judgement metaphorically represents impaired vision, suggesting that the evaluator's ability to see clearly (evaluate accurately) is hindered, affecting the quality of the evaluation.

This metaphor also implies a dynamic process of *perception* and *interpretation*. Just as the seer perceives and interprets visual information, the evaluator perceives and interprets information about the evaluee. This process involves *discernment*, *analysis*, and *judgement*, which are crucial in both seeing and evaluating.

Furthermore, the metaphor suggests that just as vision can be influenced by external factors (like light, distance, or obstacles), evaluation can be influenced by various factors (like bias, lack of information, or external pressure). This highlights the concept of *subjectivity* and *context-dependency* in both seeing and evaluating.";"clarity; sharpness; accuracy; precision; visibility; distinctness; understanding; comprehension; detail; completeness; thoroughness; comprehensiveness; perception; interpretation; discernment; analysis; judgement; subjectivity; context-dependency"
2;ABILITY_TO_KNOW_IS_ABILITY_TO_SEE;Seeing;Knowing;"seen_object;seer";"knowledge;knower";"The US is blind to the limits of Palestinian politics; See-er's vision is impaired ;The issue was exposed to the light of day;The government covered up the high levels of radiation";"In the metaphor ABILITY_TO_KNOW_IS_ABILITY_TO_SEE, the source frame is Seeing and the target frame is Knowing. The metaphorical connections between the roles in the source frame (seen_object; seer) and those in the target frame (knowledge; knower) are as follows:

1. The *seen_object* in the source frame corresponds to *knowledge* in the target frame. This connection suggests that knowledge, like a seen object, is something that can be perceived, understood, and interpreted. It implies that knowledge is not just abstract and intangible, but can be 'seen' or 'visualized' in a certain way. This connection also implies that the clarity or obscurity of the 'seen object' can reflect the clarity or obscurity of the knowledge.

2. The *seer* in the source frame corresponds to the *knower* in the target frame. This connection suggests that the knower, like the seer, is an active participant who engages with the knowledge/seen object. It implies that the knower's ability to 'see' or understand the knowledge can be influenced by their perspective, focus, and perceptual abilities, just as a seer's vision can be influenced by these factors.

The metaphor ABILITY_TO_KNOW_IS_ABILITY_TO_SEE thus encapsulates several key concepts:

- *Perception & Interpretation*: Just as we perceive and interpret what we see, we also perceive and interpret knowledge. This process can be influenced by our perspective, focus, and perceptual abilities.

- *Clarity & Obscurity*: Just as objects can be clear or obscure to our vision, knowledge can also be clear or obscure to our understanding. This can depend on the complexity of the knowledge, our prior knowledge, and our cognitive abilities.

- *Active Engagement*: Just as seeing involves active engagement with the visual world, knowing involves active engagement with knowledge. This can involve seeking out knowledge, processing it, and integrating it into our existing knowledge structures.

- *Visibility & Exposure*: Just as light can expose objects to our vision, exposure can bring knowledge into our understanding. Conversely, just as objects can be hidden from our vision, knowledge can also be hidden or covered up. This can be due to deliberate concealment, lack of access, or our own cognitive limitations.";"seen_object; knowledge; seer; knower; Perception & Interpretation; Clarity & Obscurity; Active Engagement; Visibility & Exposure"
3;ACHIEVING_A_PURPOSE_IS_ACQUIRING_A_DESIRED_OBJECT;Gain_possession;Purposeful_action;"possession;getting_x-schema;recipient";"objective;action_x-schema;actor";"They just handed him the job; Seize the opportunity; I kept getting close to a world championship but it kept escaping me; He finally managed to get a smile out of her;She landed four huge accounts this year";"In the metaphor ACHIEVING_A_PURPOSE_IS_ACQUIRING_A_DESIRED_OBJECT, the source frame is Gain_possession and the target frame is Purposeful_action. The source roles are possession, getting_x-schema, and recipient, while the target roles are objective, action_x-schema, and actor.

The metaphorical connections between the roles in the source frame and those in the target frame can be understood as follows:

1. *Possession* in the source frame is metaphorically linked to *Objective* in the target frame. This connection implies that the achievement of a purpose is viewed as acquiring or possessing a desired object. The objective or goal is seen as something tangible that can be possessed or owned.

2. *Getting_x-schema* in the source frame is metaphorically connected to *Action_x-schema* in the target frame. This suggests that the process of achieving a purpose is likened to the process of acquiring or getting something. The actions taken to achieve a purpose are compared to the actions taken to gain possession of an object.

3. *Recipient* in the source frame is metaphorically linked to *Actor* in the target frame. This implies that the person who achieves the purpose (actor) is seen as the recipient of the desired object. The actor is the one who receives the benefits or outcomes of the purposeful action.

The underlying dynamics of this metaphor involve the conceptual ties of *attainment* and *ownership*. Achieving a purpose is seen as a process of attaining or gaining something valuable, similar to acquiring a desired object. This process involves a sense of ownership, as the achieved purpose or goal is seen as something that belongs to the actor.

Furthermore, this metaphor also encompasses nuances such as *effort & struggle* (as seen in the examples ""I kept getting close to a world championship but it kept escaping me"" and ""He finally managed to get a smile out of her""), *opportunity & timing* (as in ""Seize the opportunity"" and ""They just handed him the job""), and *success & accomplishment* (as in ""She landed four huge accounts this year""). These nuances highlight the complexities and challenges involved in achieving a purpose, which are metaphorically compared to the difficulties and rewards of acquiring a desired object.";"Possession; Objective; Getting_x-schema; Action_x-schema; Recipient; Actor; attainment; ownership; effort & struggle; opportunity & timing; success & accomplishment"
4;ACHIEVING_A_PURPOSE_IS_REACHING_A_DESTINATION;Self_propelled_motion_to_a_destination;Purposeful_action;"self-motion_x-schema;self-mover;destination";"action_x-schema;actor;purpose";"We've reached the end; We are seeing the light at the end of the tunne; We only have short way to go; We're where we wanted to go; The goal is a long way off; He is just floating around;Lack of purpose is lack of direction";"In the metaphor ACHIEVING_A_PURPOSE_IS_REACHING_A_DESTINATION, the source frame is Self_propelled_motion_to_a_destination, and the target frame is Purposeful_action. The metaphorical connections between roles in the source frame and those in the target frame are as follows:

- The self-motion_x-schema in the source frame corresponds to the action_x-schema in the target frame. This connection implies that the *process* of moving towards a destination is metaphorically linked to the *process* of carrying out an action with a specific purpose.

- The self-mover in the source frame corresponds to the actor in the target frame. This suggests that the individual or entity that is moving towards a destination is metaphorically seen as the one who performs the purposeful action. This connection highlights the concept of *agency* and *responsibility*.

- The destination in the source frame corresponds to the purpose in the target frame. This implies that the end point of a journey is metaphorically seen as the goal or objective of a purposeful action. This connection emphasizes the concept of *goal-orientation* and *achievement*.

The examples provided illustrate these metaphorical connections. For instance, ""We've reached the end"" and ""We're where we wanted to go"" metaphorically express the achievement of a purpose as reaching a destination. ""The goal is a long way off"" and ""We only have short way to go"" metaphorically convey the progress or lack thereof towards achieving a purpose. ""He is just floating around"" metaphorically represents lack of purpose as lack of direction.

The underlying dynamics of this metaphor involve the conceptual ties between *physical movement* and *purposeful action*. Just as physical movement involves a starting point, a path, and a destination, purposeful action involves an initial state, a process, and a goal. The metaphor also encompasses nuances such as *progress & proximity*, *direction & guidance*, and *arrival paralleled with achievement*. The metaphor suggests that achieving a purpose, like reaching a destination, requires effort, direction, and perseverance. It also implies that lack of purpose, like lack of direction, results in aimless wandering or stagnation.";"process; process; agency; responsibility; goal-orientation; achievement; physical movement; purposeful action; progress & proximity; direction & guidance; arrival paralleled with achievement"
5;ACHIEVING_POWER_IS_MOVING_UPWARDS;Upward_motion;Power;mover;ower_holder;"Hitler's rise to power cannot be attributed to one event but a mixture of factors including events happening outside Germany; Regensburg's political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806";"In the metaphor ACHIEVING_POWER_IS_MOVING_UPWARDS, the source frame is Upward_motion and the target frame is Power. The source role is the mover, which corresponds to the target role of power_holder. This metaphorical connection is based on the conceptual link between the physical act of moving upwards and the abstract concept of gaining power.

The metaphor implies a *journey* or *progression* that involves overcoming obstacles or challenges, similar to the physical effort required to ascend. This is reflected in the example of Hitler's rise to power, which was not a result of a single event, but a complex interplay of various factors. The metaphor captures the idea that achieving power is not a simple or straightforward process, but rather a *struggle* or *climb* that requires effort, strategy, and resilience.

The metaphor also suggests a *hierarchical structure* in the power dynamics, where the higher one moves, the more power one holds. This is evident in the example of Regensburg's political influence peaking when it became the city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire. The city's 'upward movement' in the political hierarchy resulted in it achieving its highest level of power.

Furthermore, the metaphor implies a *directionality* in the pursuit of power, where moving upwards is associated with progress and success, while moving downwards is associated with failure or loss of power. This is a common theme in many cultures, where 'up' is often associated with positive outcomes and 'down' with negative ones.

In addition, the metaphor also suggests a sense of *visibility* and *exposure*. Just as someone moving upwards becomes more visible in a physical landscape, a person or entity gaining power becomes more noticeable and influential in a social or political landscape.

Finally, the metaphor also implies a sense of *transformation* and *change*. Just as a physical journey changes the position and perspective of the mover, the journey to power changes the status and influence of the power holder. This transformation is not just external, but also internal, affecting the power holder's identity, perception, and actions.";"journey; progression; struggle; climb; hierarchical structure; directionality; visibility; exposure; transformation; change"
6;ACQUIRING_IDEAS_IS_EATING;Eating;Thinking_about;"eater;digesting;food";"thinker;considering;ideas";"We pitched them the idea and they ate it right up ; He's been feeding her lies all these years ; This article is hard to digest";"The metaphor ACQUIRING_IDEAS_IS_EATING establishes a conceptual framework where the process of acquiring ideas is likened to the act of eating. The source frame, Eating, and the target frame, Thinking_about, are connected through this metaphorical mapping. The roles within these frames also have corresponding connections.

In the source frame, the 'eater' is the one who consumes the food. This role is metaphorically linked to the 'thinker' in the target frame, who 'consumes' or processes ideas. The act of eating, which involves taking in, chewing, and digesting food, is paralleled with the act of thinking, where ideas are taken in, reflected upon, and internalized. This highlights the concept of *transformation* and *internalization*.

The 'digesting' role in the source frame corresponds to the 'considering' role in the target frame. Just as food is broken down and absorbed during digestion, ideas are broken down, analyzed, and understood during consideration. This process can be challenging or easy, depending on the complexity of the idea or the 'quality of consumption'. For instance, a hard-to-digest article parallels a difficult-to-understand idea.

The 'food' in the source frame corresponds to 'ideas' in the target frame. Just as food provides nourishment to the body, ideas provide intellectual nourishment. However, the quality and nature of the food/ideas can vary. For example, 'feeding her lies' suggests the idea of providing false or harmful information, akin to feeding someone unhealthy or poisonous food.

The examples given further illustrate these connections. Phrases like 'ate it right up' and 'hard to digest' use language associated with eating to describe the process of engaging with ideas. This metaphor also encompasses nuances such as *saturation & fulfillment* (feeling satisfied after consuming a good idea), *preferences & taste* (preferring certain types of ideas over others), and *chewing paralleled with reflection* (taking time to process and understand an idea). 

In conclusion, the metaphor ACQUIRING_IDEAS_IS_EATING provides a rich and nuanced framework for understanding the complex process of engaging with, processing, and internalizing ideas.";"transformation; internalization; saturation & fulfillment; preferences & taste; chewing paralleled with reflection"
7;ACTION_IS_BEING_IN_A_LOCATION;Being_at_a_location;Action;"landmark;experiencer";"action_x-schema;actor";"The car is in motion; I'm going to leave; She's close to resigning";"In the metaphor ACTION_IS_BEING_IN_A_LOCATION, the source frame is Being_at_a_location and the target frame is Action. The source roles are landmark and experiencer, while the target roles are action_x-schema and actor. This metaphorical connection implies that an action is conceptualized as being in a certain location, and the actor is the one who experiences this location.

The metaphorical connection between the source role of 'landmark' and the target role of 'action_x-schema' suggests that the action is viewed as a location or a state of being. For instance, in the example 'The car is in motion', 'motion' is the action that is metaphorically represented as a location. The car, which is the 'actor', is in this location, i.e., it is performing the action.

Similarly, the connection between the source role of 'experiencer' and the target role of 'actor' implies that the one who experiences the location is the one who performs the action. For example, in 'I'm going to leave', 'I' is the actor who is going to perform the action of leaving, which is metaphorically represented as moving towards a location.

This metaphor involves several key concepts. The first is the concept of *movement*, which is inherent in the idea of being in a location. This movement can be physical, as in the case of the car being in motion, or metaphorical, as in the case of someone being close to resigning. Another key concept is *change of state*, which is implied by the action. When an actor performs an action, they move from one state to another, just as when they move from one location to another.

The metaphor also involves the concept of *proximity*. The closer the actor is to the location, the closer they are to performing the action. This is evident in the example 'She's close to resigning', where the proximity to the location (resigning) indicates the imminence of the action.

Finally, the metaphor involves the concept of *agency*. The actor is not just passively in a location, but actively moves towards it, as in 'I'm going to leave'. This suggests that the actor has control over their actions, just as they have control over their movements in a physical space. 

In summary, the metaphor ACTION_IS_BEING_IN_A_LOCATION involves a complex interplay of concepts related to movement, change of state, proximity, and agency. It allows us to conceptualize actions in terms of spatial locations, providing a rich and nuanced understanding of these actions.";"movement; change of state; proximity; agency"
8;ACTION_IS_MOTION;Motion;Action;"motion_x-schema;mover";"action_x-schema;actor";This computer program turns the power on and off;"In the metaphor ACTION_IS_MOTION, the source frame is Motion and the target frame is Action. The roles in the source frame are motion_x-schema and mover, while the roles in the target frame are action_x-schema and actor. 

The metaphorical connection between these roles is that the *mover* in the source frame is conceptually tied to the *actor* in the target frame. This implies that the entity initiating or causing the motion is metaphorically seen as the entity performing the action. In the example provided, the computer program is the *mover* that initiates the motion (turning the power on and off), and it is also the *actor* that performs the action (turning the power on and off). 

The *motion_x-schema* in the source frame is conceptually tied to the *action_x-schema* in the target frame. This suggests that the process or pattern of motion is metaphorically seen as the process or pattern of action. In the example, the motion of turning the power on and off is metaphorically seen as the action of turning the power on and off. 

This metaphor reveals the underlying dynamics of how we perceive and understand actions. Actions are often conceptualized as motions, with a clear direction, a starting point (on), and an ending point (off). This metaphorical mapping allows us to understand abstract actions in terms of more concrete experiences of motion. 

Moreover, the metaphor also implies a sense of *control* and *manipulation*. Just as a mover controls the direction and speed of motion, an actor controls the process and outcome of an action. In the example, the computer program has the control to manipulate the power, turning it on and off. 

Additionally, the metaphor suggests a sense of *causality*. Just as motion requires a mover to initiate it, action requires an actor to perform it. This causality is inherent in the metaphor, highlighting the role of the actor/mover as the cause of the action/motion. 

Finally, the metaphor also encompasses the concept of *transformation*. Just as motion involves a change in position or state, action involves a change in situation or condition. In the example, the action of the computer program transforms the state of the power from on to off and vice versa.";"mover; actor; mover; actor; motion_x-schema; action_x-schema; control; manipulation; causality; transformation"
9;ACTION_IS_MOTION_ALONG_A_PATH;Motion_along_a_path;Action;"mover;goal_of_motion;path_of_motion;course_of_motion";"actor;action_purpose;action_means;action_self";"Devastation from the hurricane thrust the nation into recession; Congress' refusal to compromise is moving the country toward economic ruin";"In the metaphor ACTION_IS_MOTION_ALONG_A_PATH, the source frame is Motion_along_a_path and the target frame is Action. The metaphorical connections between the roles in the source frame and those in the target frame are as follows:

1. The *mover* in the source frame corresponds to the *actor* in the target frame. This connection is based on the idea that just as a mover initiates and carries out movement along a path, an actor initiates and carries out an action. 

2. The *goal_of_motion* in the source frame corresponds to the *action_purpose* in the target frame. This connection is based on the idea that just as the goal of motion is the destination or end point towards which the mover is moving, the purpose of an action is the desired outcome or end result that the actor is trying to achieve.

3. The *path_of_motion* in the source frame corresponds to the *action_means* in the target frame. This connection is based on the idea that just as the path of motion is the route or course that the mover takes to reach the goal, the means of an action is the method or process that the actor uses to achieve the purpose.

4. The *course_of_motion* in the source frame corresponds to the *action_self* in the target frame. This connection is based on the idea that just as the course of motion is the actual process of moving along the path, the action itself is the actual process of carrying out the action.

In the provided examples, the devastation from the hurricane and Congress' refusal to compromise are metaphorically depicted as forces that are moving the nation along a path towards economic ruin, which is the undesired end point or goal. This metaphorical depiction highlights the *dynamics* and *directionality* of the actions and their potential consequences, as well as the *urgency* and *inevitability* of the situation if no corrective actions are taken. 

Furthermore, the metaphor also implies the concept of *agency*, as the nation is portrayed as a passive entity that is being moved along a path by external forces, rather than as an active agent that is capable of changing its course. This could reflect a sense of *powerlessness* or *victimhood*, which adds an emotional dimension to the metaphor. 

Finally, the metaphor also suggests a *trajectory* or *progression* over time, as the nation is not just in a state of economic ruin, but is moving towards it. This adds a temporal dimension to the metaphor, and implies that the situation could potentially get worse if the motion continues unchecked.";"mover; actor; goal_of_motion; action_purpose; path_of_motion; action_means; course_of_motion; action_self; dynamics; directionality; urgency; inevitability; agency; powerlessness; victimhood; trajectory; progression"
